date,minutes_listened,num_songs
2023-11-03,290.32348333333334,142.0
2023-11-04,365.19913333333335,156.0
2023-11-05,247.44933333333333,108.0
2023-11-06,329.1580833333333,146.0
2023-11-07,402.39265,147.0
2023-11-08,324.4581333333333,134.0
2023-11-09,340.66311666666667,140.0
2023-11-10,311.8145166666667,111.0
2023-11-11,199.3179,75.0
2023-11-12,361.96405,130.0
2023-11-13,240.34836666666666,93.0
2023-11-14,282.11806666666666,123.0
2023-11-15,227.58721666666668,120.0
2023-11-16,409.52726666666666,181.0
2023-11-17,394.89835,144.0
2023-11-18,469.29735,190.0
2023-11-19,357.6759166666667,120.0
2023-11-20,249.52328333333332,90.0
2023-11-21,414.0697,167.0
2023-11-22,367.0855,129.0
2023-11-23,363.6313166666667,125.0
2023-11-24,219.78218333333334,94.0
2023-11-25,385.0747666666667,187.0
2023-11-26,559.0456333333333,233.0
2023-11-27,455.4807333333333,185.0
2023-11-28,413.76761666666664,183.0
2023-11-29,546.6202833333333,198.0
2023-11-30,246.05183333333332,102.0
2023-12-01,178.88041666666666,100.0
2023-12-02,205.82476666666668,80.0
2023-12-03,276.6098666666667,115.0
2023-12-04,226.23181666666667,106.0
2023-12-05,145.65878333333333,92.0
2023-12-06,246.15675,112.0
2023-12-07,365.77095,172.0
2023-12-08,378.49165,173.0
2023-12-09,255.37108333333333,112.0
2023-12-10,266.781,95.0
2023-12-11,113.92373333333333,63.0
2023-12-12,531.4028333333333,203.0
2023-12-13,170.44418333333334,61.0
2023-12-14,418.5869333333333,159.0
2023-12-15,185.7526,81.0
2023-12-16,257.6267,93.0
2023-12-17,627.0408666666667,214.0
2023-12-18,75.55858333333333,26.0
2023-12-19,420.3818166666667,159.0
2023-12-20,288.8299166666667,128.0
2023-12-21,134.16793333333334,87.0
2023-12-22,69.61573333333334,31.0
2023-12-23,73.83848333333333,32.0
2023-12-24,227.13105,77.0
2023-12-25,107.49788333333333,52.0
2023-12-26,173.09651666666667,71.0
2023-12-27,344.5998666666667,131.0
2023-12-28,188.51281666666668,77.0
2023-12-29,182.86691666666667,71.0
2023-12-30,204.20956666666666,71.0
2023-12-31,396.9064666666667,164.0
2024-01-01,251.21301666666668,99.0
2024-01-02,399.37115,163.0
2024-01-03,227.78226666666666,85.0
2024-01-04,415.13548333333335,145.0
2024-01-05,467.366,155.0
2024-01-06,197.43953333333334,83.0
2024-01-07,382.32688333333334,169.0
2024-01-08,280.0652,120.0
2024-01-09,144.55491666666666,67.0
2024-01-10,169.86105,80.0
2024-01-11,341.1811666666667,151.0
2024-01-12,289.7211,127.0
2024-01-13,159.9584,71.0
2024-01-14,287.5921333333333,129.0
2024-01-15,118.17141666666667,53.0
2024-01-16,65.35271666666667,28.0
2024-01-17,173.13303333333334,77.0
2024-01-18,254.33648333333332,149.0
2024-01-19,91.82865,46.0
2024-01-20,313.0661333333333,112.0
2024-01-21,359.28675,135.0
2024-01-22,250.11101666666667,96.0
2024-01-23,263.1772833333333,111.0
2024-01-24,352.4032833333333,147.0
2024-01-25,365.28001666666665,164.0
2024-01-26,249.07708333333332,96.0
2024-01-27,238.37638333333334,91.0
2024-01-28,286.07501666666667,86.0
2024-01-29,139.07328333333334,70.0
2024-01-30,152.88456666666667,70.0
2024-01-31,273.11861666666664,122.0
2024-02-01,171.36796666666666,75.0
2024-02-02,397.66818333333333,140.0
2024-02-03,164.92596666666665,80.0
2024-02-04,165.36003333333332,78.0
2024-02-05,288.5527666666667,123.0
2024-02-06,169.87803333333332,86.0
2024-02-07,96.22461666666666,33.0
2024-02-08,146.7,69.0
2024-02-09,267.76668333333333,114.0
2024-02-10,177.4757,74.0
2024-02-11,243.72966666666667,89.0
2024-02-12,243.67731666666666,87.0
2024-02-13,191.98668333333333,75.0
2024-02-14,345.43233333333336,110.0
2024-02-15,282.33685,112.0
2024-02-16,188.5529,77.0
2024-02-17,250.68276666666668,109.0
2024-02-18,28.094816666666667,14.0
2024-02-19,206.49375,72.0
2024-02-20,210.87625,76.0
2024-02-21,160.89525,97.0
2024-02-22,371.47585,191.0
2024-02-23,150.29813333333334,91.0
2024-02-24,144.48378333333332,90.0
2024-02-25,88.4374,55.0
2024-02-26,334.2361,131.0
2024-02-27,209.61841666666666,82.0
2024-02-28,201.07803333333334,77.0
2024-02-29,229.62361666666666,122.0
2024-03-01,186.85396666666668,72.0
2024-03-02,249.3052,89.0
2024-03-03,220.97391666666667,83.0
2024-03-04,179.76068333333333,86.0
2024-03-05,407.59591666666665,151.0
2024-03-06,427.13355,170.0
2024-03-07,277.5760666666667,159.0
2024-03-08,258.8188,93.0
2024-03-09,167.97985,76.0
2024-03-10,120.45551666666667,52.0
2024-03-11,220.6871,92.0
2024-03-12,350.94966666666664,151.0
2024-03-13,101.5378,46.0
2024-03-14,173.75706666666667,70.0
2024-03-15,189.4974,60.0
2024-03-16,160.68778333333333,60.0
2024-03-17,149.39206666666666,60.0
2024-03-18,542.405,175.0
2024-03-19,171.86186666666666,82.0
2024-03-20,170.34863333333334,70.0
2024-03-21,114.23375,49.0
2024-03-22,271.67583333333334,100.0
2024-03-23,255.76183333333333,89.0
2024-03-24,111.19013333333334,40.0
2024-03-25,117.0297,49.0
2024-03-26,73.14198333333333,24.0
2024-03-27,92.89976666666666,34.0
2024-03-28,87.98593333333334,33.0
2024-03-29,164.80711666666667,58.0
2024-03-30,147.52733333333333,66.0
2024-03-31,200.26921666666667,91.0
2024-04-01,331.13298333333336,110.0
2024-04-02,252.5605,113.0
2024-04-03,131.80801666666667,67.0
2024-04-04,174.6765,73.0
2024-04-05,155.37353333333334,79.0
2024-04-06,85.21355,26.0
2024-04-07,189.8129,83.0
2024-04-08,84.42923333333333,45.0
2024-04-09,59.5293,32.0
2024-04-10,88.56623333333333,40.0
2024-04-11,84.45206666666667,45.0
2024-04-12,91.54366666666667,70.0
2024-04-13,160.58565,70.0
2024-04-14,102.18478333333333,37.0
2024-04-15,53.25425,25.0
2024-04-16,88.98116666666667,32.0
2024-04-17,216.30683333333334,95.0
2024-04-18,131.93951666666666,64.0
2024-04-19,141.41978333333333,45.0
2024-04-20,256.6227,77.0
2024-04-21,104.14543333333333,38.0
2024-04-22,89.35841666666667,37.0
2024-04-23,122.36306666666667,54.0
2024-04-24,133.38063333333332,51.0
2024-04-25,195.64593333333335,76.0
2024-04-26,221.32153333333332,71.0
2024-04-27,403.6458333333333,138.0
2024-04-28,165.89721666666668,72.0
2024-04-29,394.7497333333333,68.0
2024-04-30,358.48946666666666,118.0
2024-05-01,265.41615,108.0
2024-05-02,131.83286666666666,37.0
2024-05-03,17.88775,9.0
2024-05-04,204.09873333333334,73.0
2024-05-05,228.07291666666666,127.0
2024-05-06,235.91628333333333,93.0
2024-05-07,481.11606666666665,159.0
2024-05-08,268.75675,100.0
2024-05-09,183.2202,80.0
2024-05-10,103.68478333333333,66.0
2024-05-11,40.1682,19.0
2024-05-12,231.1425,86.0
2024-05-13,223.73283333333333,119.0
2024-05-14,70.75201666666666,44.0
2024-05-15,188.09003333333334,60.0
2024-05-16,62.78115,35.0
2024-05-17,121.18925,60.0
2024-05-18,0.0,0.0
